

"Area","Area Id","Variable Name","Variable Id","Year","Value","Symbol","Md"
"Bolivia (Plurinational State of)",19,"Area equipped for irrigation by direct use of not treated municipal wastewater",4534,2011,5.0,"","",""
"Bosnia and Herzegovina",80,"Produced municipal wastewater",4269,2007,0.068,"","[101,102]",""
"Bosnia and Herzegovina",80,"Produced municipal wastewater",4269,2012,0.0656,"","",""
"Bosnia and Herzegovina",80,"Produced municipal wastewater",4269,2013,0.0638,"","",""
"Bosnia and Herzegovina",80,"Treated municipal wastewater",4270,2007,0.003,"","",""
"Bosnia and Herzegovina",80,"Treated municipal wastewater",4270,2012,0.003,"","",""
"Bosnia and Herzegovina",80,"Treated municipal wastewater",4270,2013,0.0029,"","",""
"Bosnia and Herzegovina",80,"Number of municipal wastewater treatment facilities",4515,2007,5.0,"","",""
"Bosnia and Herzegovina",80,"Number of municipal wastewater treatment facilities",4515,2012,8.0,"","",""
"Bosnia and Herzegovina",80,"Number of municipal wastewater treatment facilities",4515,2013,11.0,"","",""
"Bosnia and Herzegovina",80,"Not treated municipal wastewater",4491,2007,0.065,"","",""
"Bosnia and Herzegovina",80,"Not treated municipal wastewater",4491,2012,0.0626,"","",""
"Bosnia and Herzegovina",80,"Not treated municipal wastewater",4491,2013,0.0609,"","",""
"Bosnia and Herzegovina",80,"Treated municipal wastewater discharged (secondary water)",4510,2007,0.0029,"","",""
"Bosnia and Herzegovina",80,"Treated municipal wastewater discharged (secondary water)",4510,2012,0.003,"","",""
"Bosnia and Herzegovina",80,"Treated municipal wastewater discharged (secondary water)",4510,2013,0.0029,"","",""
"Bosnia and Herzegovina",80,"Not treated municipal wastewater discharged (secondary water)",4517,2007,0.0651,"","",""
"Bosnia and Herzegovina",80,"Not treated municipal wastewater discharged (secondary water)",4517,2012,0.0626,"","",""
"Bosnia and Herzegovina",80,"Not treated municipal wastewater discharged (secondary water)",4517,2013,0.0609,"","",""
"Botswana",20,"Produced municipal wastewater",4269,1990,0.011,"","",""
"Botswana",20,"Treated municipal wastewater",4270,1994,0.0,"","",""
"Botswana",20,"Treated municipal wastewater",4270,1999,0.008,"","",""
"Brazil",21,"Produced municipal wastewater",4269,1996,2.567,"","[103,104]",""
"Brazil",21,"Produced municipal wastewater",4269,2006,9.73,"","",""
"Brazil",21,"Produced municipal wastewater",4269,2008,10.3,"","",""
"Brazil",21,"Collected municipal wastewater",4493,2006,5.39,"","",""
"Brazil",21,"Treated municipal wastewater",4270,1996,0.8847,"","",""
"Brazil",21,"Treated municipal wastewater",4270,2006,2.51,"","",""
"Brazil",21,"Treated municipal wastewater",4270,2008,3.1,"","",""
"Brazil",21,"Not treated municipal wastewater",4491,1996,1.682,"I","[105]",""
"Brazil",21,"Not treated municipal wastewater",4491,2006,7.22,"","",""
"Brazil",21,"Not treated municipal wastewater",4491,2008,7.2,"","[106]",""
"Brazil",21,"Treated municipal wastewater discharged (secondary water)",4510,2008,3.091,"","[107]",""
"Brazil",21,"Direct use of treated municipal wastewater",4265,2008,0.009,"","",""
"Brazil",21,"Direct use of treated municipal wastewater for irrigation purposes",4490,2008,0.008,"","",""
"Bulgaria",27,"Produced municipal wastewater",4269,2002,0.486,"","",""
"Bulgaria",27,"Produced municipal wastewater",4269,2007,0.503,"","",""
"Bulgaria",27,"Produced municipal wastewater",4269,2012,0.447,"","",""
"Bulgaria",27,"Produced municipal wastewater",4269,2013,0.448,"","",""
"Bulgaria",27,"Number of municipal wastewater treatment facilities",4515,2002,54.0,"","",""
"Bulgaria",27,"Number of municipal wastewater treatment facilities",4515,2007,62.0,"","",""
"Bulgaria",27,"Number of municipal wastewater treatment facilities",4515,2012,87.0,"","",""
"Bulgaria",27,"Number of municipal wastewater treatment facilities",4515,2013,90.0,"","",""
"Burkina Faso",233,"Produced municipal wastewater",4269,2007,0.0408,"","[108]",""
"Burkina Faso",233,"Produced municipal wastewater",4269,2009,0.0487,"","[109]",""
"Burkina Faso",233,"Collected municipal wastewater",4493,2011,0.0024,"","",""
"Burkina Faso",233,"Treated municipal wastewater",4270,2011,0.0014,"","[110]",""
"Burkina Faso",233,"Direct use of treated municipal wastewater",4265,2011,0.0013,"","[111]",""
"Cabo Verde",35,"Produced municipal wastewater",4269,2007,0.0038,"","[112]",""
"Cabo Verde",35,"Produced municipal wastewater",4269,2009,0.0039,"","[113]",""
"Cambodia",115,"Treated municipal wastewater",4270,1994,2.0E-4,"","",""
"Cameroon",32,"Produced municipal wastewater",4269,2008,0.0662,"","[114]",""
"Canada",33,"Produced municipal wastewater",4269,2006,5.915,"","[115,116]",""
"Canada",33,"Produced municipal wastewater",4269,2009,6.613,"","[117,118]",""
"Canada",33,"Collected municipal wastewater",4493,2006,5.293,"","[119]",""
"Canada",33,"Collected municipal wastewater",4493,2009,5.819,"","[120,121,122]",""
"Canada",33,"Treated municipal wastewater",4270,2006,5.212,"","[123,124]",""
"Canada",33,"Treated municipal wastewater",4270,2009,5.632,"","[125]",""
"Canada",33,"Number of municipal wastewater treatment facilities",4515,2009,1265.0,"","",""
"Canada",33,"Capacity of the municipal wastewater treatment facilities",4516,2009,10.3,"","",""
"Canada",33,"Not treated municipal wastewater",4491,2006,0.703,"","[126]",""
"Canada",33,"Not treated municipal wastewater",4491,2009,0.981,"","[127]",""
"Chile",40,"Produced municipal wastewater",4269,1999,1.065,"","[128,129]",""
"Chile",40,"Produced municipal wastewater",4269,2011,1.112,"","[130,131,132]",""
"Chile",40,"Collected municipal wastewater",4493,2011,1.067,"","[133,134]",""
"Chile",40,"Treated municipal wastewater",4270,1999,0.213,"","",""
"Chile",40,"Treated municipal wastewater",4270,2011,0.768,"","[135,136,137,138,139]",""
"Chile",40,"Number of municipal wastewater treatment facilities",4515,2003,,,"[140]",
"Chile",40,"Number of municipal wastewater treatment facilities",4515,2011,268.0,"","",""
"Chile",40,"Capacity of the municipal wastewater treatment facilities",4516,2009,0.974,"","",""
"Chile",40,"Not treated municipal wastewater",4491,1999,0.852,"I","[141,142]",""
"Chile",40,"Not treated municipal wastewater",4491,2011,0.344,"I","[143]",""
"Chile",40,"Treated municipal wastewater discharged (secondary water)",4510,2003,,,"[144]",
"Chile",40,"Treated municipal wastewater discharged (secondary water)",4510,2009,0.7807,"","[145,146,147]",""
"Chile",40,"Not treated municipal wastewater discharged (secondary water)",4517,2009,0.2089,"","",""
"Chile",40,"Direct use of treated municipal wastewater",4265,2009,0.0,"","",""
"Chile",40,"Direct use of treated municipal wastewater for irrigation purposes",4490,2008,0.138,"","",""
"Chile",40,"Area equipped for irrigation by direct use of treated municipal wastewater",4533,2008,130.0,"","",""
"China",351,"Produced municipal wastewater",4269,1997,18.91,"","",""
"China",351,"Produced municipal wastewater",4269,2002,23.23,"","",""
"China",351,"Produced municipal wastewater",4269,2007,31.02,"","[148]",""
"China",351,"Produced municipal wastewater",4269,2012,46.27,"","",""
"China",351,"Produced municipal wastewater",4269,2013,48.51,"","",""
"China",351,"Collected municipal wastewater",4493,2007,19.5,"","[149]",""
"China",351,"Collected municipal wastewater",4493,2010,31.14,"","[150]",""
"China",351,"Treated municipal wastewater",4270,2001,5.18,"","",""
"China",351,"Treated municipal wastewater",4270,2007,19.03,"","",""
"China",351,"Treated municipal wastewater",4270,2012,42.37,"","",""
"China",351,"Treated municipal wastewater",4270,2014,49.31,"","",""
"China",351,"Number of municipal wastewater treatment facilities",4515,1992,100.0,"","",""
"China",351,"Number of municipal wastewater treatment facilities",4515,1997,307.0,"","",""
"China",351,"Number of municipal wastewater treatment facilities",4515,2002,537.0,"","",""
"China",351,"Number of municipal wastewater treatment facilities",4515,2007,1258.0,"","[151]",""
"China",351,"Number of municipal wastewater treatment facilities",4515,2012,3836.0,"","",""
"China",351,"Number of municipal wastewater treatment facilities",4515,2014,4436.0,"","",""
"China",351,"Capacity of the municipal wastewater treatment facilities",4516,1992,1.34,"","",""
"China",351,"Capacity of the municipal wastewater treatment facilities",4516,1997,4.72,"","",""
"China",351,"Capacity of the municipal wastewater treatment facilities",4516,2002,13.07,"","",""
"China",351,"Capacity of the municipal wastewater treatment facilities",4516,2007,27.65,"","[152]",""
"China",351,"Capacity of the municipal wastewater treatment facilities",4516,2012,54.42,"","",""
"China",351,"Capacity of the municipal wastewater treatment facilities",4516,2014,62.46,"","",""
"China",351,"Not treated municipal wastewater",4491,2001,17.59,"","[153]",""
"China",351,"Not treated municipal wastewater",4491,2007,11.99,"","[154]",""
"China",351,"Not treated municipal wastewater",4491,2012,3.9,"","[155]",""
"China",351,"Not treated municipal wastewater",4491,2013,2.49,"","[156]",""
"China",351,"Treated municipal wastewater discharged (secondary water)",4510,2012,38.84,"","[157]",""
"China",351,"Treated municipal wastewater discharged (secondary water)",4510,2013,42.16,"","[158]",""
"China",351,"Direct use of treated municipal wastewater",4265,2012,3.53,"","[159,160]",""
"China",351,"Direct use of treated municipal wastewater",4265,2013,3.86,"","",""
"China",351,"Direct use of treated municipal wastewater for irrigation purposes",4490,2012,1.26,"","",""
